"dataset","configuration","seed","logit_source","calibration","temperature","test_samples","accuracy_pct","ece15_pct","nll","multiclass_brier","aurc"
"NPD-Rice-COCO-43","dual_none","2028","native_manifest_val_test_logits","temperature_scaled","1.4801665449873878","9333","99.43212257580628","0.2482183709789989","0.022244343035153","0.009619206814225855","0.0005091136564738343"
"NPD-Rice-COCO-43","dual_none","2029","native_manifest_val_test_logits","raw","1.0","9333","99.37854923390121","0.4336621127058255","0.029936348498739995","0.010501757476955104","0.00017912479567342438"
"NPD-Rice-COCO-43","dual_none","2029","native_manifest_val_test_logits","temperature_scaled","1.6802002903509894","9333","99.37854923390121","0.29286064852101273","0.022387723884508416","0.009938466794223185","0.00017066746416784622"
"NPD-Rice-COCO-43","dual_none","2030","native_manifest_val_test_logits","raw","1.0","9333","99.41069323904426","0.3565033125450898","0.024315797279454553","0.00935921583262422","8.125120739877393e-05"
"NPD-Rice-COCO-43","dual_none","2030","native_manifest_val_test_logits","temperature_scaled","1.508787592962671","9333","99.41069323904426","0.2531509421429962","0.020259919497357514","0.009128924793005824","8.441674505780152e-05"
"NPD-Rice-COCO-43","dual_none","2031","native_manifest_val_test_logits","raw","1.0","9333","99.41069323904426","0.34039649889936513","0.02330784279896254","0.009586065930760817","7.178941985424607e-05"
"NPD-Rice-COCO-43","dual_none","2031","native_manifest_val_test_logits","temperature_scaled","1.5739718271834813","9333","99.41069323904426","0.18077858139509845","0.019083376581424377","0.009181796893387977","6.965356937145045e-05"
"NPD-Rice-COCO-43","dual_none","2032","native_manifest_val_test_logits","raw","1.0","9333","99.39997857066324","0.4059149591032321","0.02700875240180354","0.009716272009030786","7.78037123686287e-05"
"NPD-Rice-COCO-43","dual_none","2032","native_manifest_val_test_logits","temperature_scaled","1.6481982532331274","9333","99.39997857066324","0.23323924108290633","0.020165487704334982","0.009075843948236764","7.460973818945384e-05"
"NPD-Rice-COCO-43","dual_none","2033","native_manifest_val_test_logits","raw","1.0","9333","99.37854923390121","0.4831841311537306","0.029013993548811477","0.011301456922121847","8.247258253455416e-05"
"NPD-Rice-COCO-43","dual_none","2033","native_manifest_val_test_logits","temperature_scaled","1.5712365981909373","9333","99.37854923390121","0.3202846698287238","0.02190902232176489","0.010526156284382417","8.163436092444162e-05"
"NPD-Rice-COCO-43","dual_none","2034","native_manifest_val_test_logits","raw","1.0","9333","99.3678345655202","0.4425378585771373","0.027265483959691052","0.010428300839365268","7.427363999146641e-05"
"NPD-Rice-COCO-43","dual_none","2034","native_manifest_val_test_logits","temperature_scaled","1.7327671234612378","9333","99.3678345655202","0.1891634614978934","0.02031874557774775","0.009676434351416786","7.464313053159534e-05"
"NPD-Rice-COCO-43","dual_none","2035","native_manifest_val_test_logits","raw","1.0","9333","99.39997857066324","0.37707355566815964","0.026087140383612695","0.009426018963910796","8.965048015371233e-05"
"NPD-Rice-COCO-43","dual_none","2035","native_manifest_val_test_logits","temperature_scaled","1.666475015393645","9333","99.39997857066324","0.14715342520561697","0.020474424034722265","0.008994764476722285","9.164478679849369e-05"
"MultiCrop-88","flat","2026","native_manifest_val_test_logits","raw","1.0","7769","97.34843609216115","1.669628388627207","0.1312757947189534","0.04473762184734476","0.0014428793536237412"
"MultiCrop-88","flat","2026","native_manifest_val_test_logits","temperature_scaled","1.6800900299535526","7769","97.34843609216115","0.8226980768086068","0.09902898560858503","0.042254252042102716","0.0014972289619334138"
"MultiCrop-88","flat","2027","native_manifest_val_test_logits","raw","1.0","7769","97.54151113399408","1.6901734273475744","0.13386899024937807","0.04049258712452627","0.0016025609091382357"
"MultiCrop-88","flat","2027","native_manifest_val_test_logits","temperature_scaled","1.8614482186158428","7769","97.54151113399408","0.6350656421686087","0.09083047832455801","0.03725666762759084","0.0018283165097487627"
"MultiCrop-88","flat","2028","native_manifest_val_test_logits","raw","1.0","7769","97.79894452310465","1.5770046760837382","0.12072469881958318","0.03758032334938786","0.0012369111053425123"
"MultiCrop-88","flat","2028","native_manifest_val_test_logits","temperature_scaled","1.8497398600208257","7769","97.79894452310465","0.6173815048954092","0.0845298976027359","0.035258360588130824","0.001363651347054456"
"MultiCrop-88","flat","2029","native_manifest_val_test_logits","raw","1.0","7769","97.60586948127172","1.793284699929772","0.1374920577757139","0.041481994969395135","0.0013377018217866686"
"MultiCrop-88","flat","2029","native_manifest_val_test_logits","temperature_scaled","1.9538360897045548","7769","97.60586948127172","0.710029198382597","0.08908962086040549","0.03783857709733001","0.0014770302667812573"
"MultiCrop-88","flat","2030","native_manifest_val_test_logits","raw","1.0","7769","97.76032951473806","1.7503052301216164","0.1370059793466684","0.039729849841059976","0.0013512695318504252"
