"dataset","configuration","seed","calibration","nonempty_bin_index","mean_confidence","observed_accuracy","sample_fraction"
"NPD-Rice-COCO-43","flat","2032","raw","0","0.3780785345124511","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2032","raw","1","0.4506230305961094","0.0","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2032","raw","2","0.5080778812962685","0.5555555555555556","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2032","raw","3","0.5649107190092544","0.8","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2032","raw","4","0.6234038622358798","0.75","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2032","raw","5","0.697919494322812","0.5333333333333333","0.0016072002571520412"
"NPD-Rice-COCO-43","flat","2032","raw","6","0.7612528030468705","0.6666666666666666","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2032","raw","7","0.8398289726538835","0.8333333333333334","0.0019286403085824494"
"NPD-Rice-COCO-43","flat","2032","raw","8","0.9005569208987384","0.6774193548387096","0.0033215471981142184"
"NPD-Rice-COCO-43","flat","2032","raw","9","0.9995840286094715","0.9966428416720814","0.9893924783027965"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","0","0.3706187123597812","0.0","0.00021429336762027214"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","1","0.4346072528602565","0.42857142857142855","0.0007500267866709525"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","2","0.5074669295959761","0.5","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","3","0.5654616500573864","0.6923076923076923","0.001392906889531769"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","4","0.6266236206001572","0.7222222222222222","0.0019286403085824494"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","5","0.7031285874635462","0.6875","0.0017143469409621772"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","6","0.7711289636886832","0.6896551724137931","0.003107253830493946"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","7","0.8412302156218809","0.6857142857142857","0.0037501339333547625"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","8","0.9004646172991001","0.8732394366197183","0.007607414550519662"
"NPD-Rice-COCO-43","flat","2032","temperature_scaled","9","0.9992981917912387","0.9986862272826801","0.9786778099217829"
"NPD-Rice-COCO-43","flat","2033","raw","0","0.4416318222356573","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2033","raw","1","0.5141541430652814","0.625","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2033","raw","2","0.5628815367011577","0.4444444444444444","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2033","raw","3","0.6275940740768446","0.875","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2033","raw","4","0.7032548502639712","0.45454545454545453","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2033","raw","5","0.761769660119266","0.6363636363636364","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2033","raw","6","0.8344096942421642","0.6","0.0021429336762027215"
"NPD-Rice-COCO-43","flat","2033","raw","7","0.9034063774603852","0.7352941176470589","0.0036429872495446266"
"NPD-Rice-COCO-43","flat","2033","raw","8","0.999581782282545","0.9970750731231719","0.9890710382513661"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","0","0.37373097761746565","0.5","0.00021429336762027214"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","1","0.4399797595834645","0.5714285714285714","0.0007500267866709525"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","2","0.5056013717880803","0.6363636363636364","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","3","0.5744833096637285","0.6666666666666666","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","4","0.6331080636568652","0.5","0.001500053573341905"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","5","0.7052868046567948","0.6666666666666666","0.0022500803600128574"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","6","0.7671171450856541","0.64","0.002678667095253402"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","7","0.833571226624081","0.8387096774193549","0.0033215471981142184"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","8","0.9066098009678303","0.8735632183908046","0.00932176149148184"
"NPD-Rice-COCO-43","flat","2033","temperature_scaled","9","0.999053659847342","0.9985750301435932","0.9774991963998714"
"NPD-Rice-COCO-43","flat","2034","raw","0","0.42818226310444335","0.0","0.00021429336762027214"
"NPD-Rice-COCO-43","flat","2034","raw","1","0.5087188697124607","0.3333333333333333","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2034","raw","2","0.5635545269055733","0.75","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2034","raw","3","0.6484194399172886","1.0","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2034","raw","4","0.7077961797112731","0.6666666666666666","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2034","raw","5","0.7678816010856617","0.625","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2034","raw","6","0.841943495792851","0.7777777777777778","0.0019286403085824494"
"NPD-Rice-COCO-43","flat","2034","raw","7","0.9074136701756542","0.8780487804878049","0.004393014036215579"
"NPD-Rice-COCO-43","flat","2034","raw","8","0.9995788619815865","0.9972946650795369","0.9901425050894674"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","0","0.3675263627674791","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","1","0.4205833906979591","0.3333333333333333","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","2","0.49108135624479465","0.625","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","3","0.5536491967270315","0.8","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2034","temperature_scaled","4","0.6315718411462239","0.8333333333333334","0.0012857602057216328"
